iter	Passed	Remaining
171	6107	118203
172	6139	118112
173	6182	118221
174	6218	118188
175	6247	118030
176	6281	117956
177	6312	117839
178	6345	117773
179	6385	117815
180	6422	117801
181	6457	117769
182	6494	117756
183	6529	117708
184	6562	117631
185	6594	117538
186	6629	117494
187	6660	117374
188	6692	117286
189	6726	117213
190	6763	117210
191	6799	117183
192	6832	117113
193	6868	117076
194	6901	117010
195	6936	116961
196	6969	116886
197	7005	116868
198	7041	116834
199	7073	116743
200	7105	116657
201	7136	116550
202	7171	116511
203	7206	116463
204	7239	116398
205	7271	116312
206	7307	116290
207	7343	116266
208	7378	116214
209	7408	116099
210	7450	116177
211	7484	116108
212	7519	116083
213	7553	116021
214	7591	116027
215	7635	116116
216	7672	116115
217	7706	116062
218	7740	116001
219	7772	115916
220	7804	115836
221	7837	115754
222	7870	115686
223	7898	115547
224	7932	115491
225	7965	115422
226	7999	115377
227	8032	115308
228	8064	115229
229	8100	115207
230	8135	115158
231	8167	115090
232	8201	115033
233	8232	114944
234	8277	115033
235	8307	114934
236	8339	114852
237	8372	114787
238	8400	114658
239	8432	114577
240	8467	114537
241	8497	114433
242	8532	114398
243	8566	114353
244	8601	114317
245	8631	114207
246	8662	114115
247	8692	114012
248	8726	113971
249	8759	113904
250	8792	113850
251	8827	113813
252	8859	113738
253	8893	113692
254	8921	113569
255	8954	113510
256	8989	113473
257	9024	113437
258	9059	113401
259	9094	113366
260	9128	113325
261	9160	113242
262	9190	113153
263	9223	113090
264	9260	113077
265	9294	113037
266	9326	112960
267	9356	112873
268	9389	112807
269	9421	112746
270	9449	112630
271	9479	112537
272	9510	112451
273	9545	112422
274	9575	112328
275	9606	112252
276	9638	112186
277	9670	112120
278	9700	112021
279	9732	111954
280	9763	111878
281	9796	111827
282	9826	111732
283	9859	111682
284	9893	111641
285	9931	111638
286	9964	111583
287	9995	111508
288	10029	111473
289	10064	111433
290	10096	111369
291	10130	111332
292	10160	111247
293	10194	111205
294	10225	111127
295	10254	111033
296	10285	110957
297	10315	110878
298	10344	110783
299	10379	110751
300	10409	110667
301	10445	110651
302	10474	110550
303	10502	110449
304	10534	110391
305	10563	110294
306	10595	110232
307	10630	110207
308	10662	110144
309	10696	110101
310	10728	110046
311	10761	109990
312	10790	109908
313	10820	109824
314	10849	109735
315	10880	109660
316	10914	109626
317	10945	109555
318	10981	109535
319	11012	109471
320	11045	109424
321	11080	109389
322	11112	109331
323	11145	109288
324	11178	109238
325	11210	109178
326	11245	109154
327	11274	109069
328	11302	108967
329	11335	108919
330	11367	108869
331	11398	108804
332	11430	108748
333	11461	108677
334	11492	108612
335	11529	108602
336	11563	108561
337	11592	108486
338	11625	108437
339	11656	108374
340	11686	108300
341	11715	108211
342	11746	108150
343	11773	108048
344	11807	108015
345	11841	107975
346	11875	107937
347	11908	107893
348	11938	107820
349	11971	107776
350	12005	107742
351	12041	107723
352	12076	107692
353	12104	107603
354	12134	107535
355	12165	107469
356	12193	107386
357	12224	107325
358	12254	107248
359	12287	107204
360	12321	107176
361	12357	107158
362	12392	107130
363	12423	107069
364	12455	107011
365	12487	106958
366	12518	106904
367	12552	106863
368	12584	106811
369	12618	106779
370	12653	106756
371	12689	106738
372	12726	106728
373	12767	106746
374	12801	106712
375	12836	106682
376	12870	106649
377	12907	106640
378	12941	106605
379	12976	106575
380	13009	106536
381	13046	106519
382	13082	106504
383	13116	106467
384	13154	106467
385	13186	106414
386	13222	106396
387	13255	106354
388	13288	106305
389	13321	106268
390	13354	106217
391	13386	106173
392	13422	106149
393	13458	106132
394	13491	106086
395	13526	106056
396	13559	106013
397	13595	105997
398	13628	105951
399	13664	105932
400	13699	105906
